"grande_area","modalidade","linha_de_fomento","total"
"Lingüística, Letras e Artes","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","3190640"
"Ciências da Saúde","EJR - Estágio Júnior no Exterior","Bolsas no Exterior","3165155"
"Outra","PD - Pós-doutorado","Bolsas de Pós-doutorado","3142272"
"Ciências Biológicas","SPE - Estagio/Especializacao no Exterior","Estágio","3040582"
"Engenharias","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","3022758"
"Outra","DEJ - Desenvolvimento Tecnológico e Inovação","Bolsas de Graduação","3003522"
"Tecnologias","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","2864807"
"Ciências Exatas e da Terra","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","2831800"
"Não informado","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2800000"
"Ciências Agrárias","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","2774599"
"Ciências Exatas e da Terra","MAT - Apoio Tecnico","Bolsas de Apoio Técnico","2767120"
"Ciências Sociais Aplicadas","PSF - Pesquisador Visitante Senior FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","2738336"
"Ciências da Saúde","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","2689504"
"Ciências Exatas e da Terra","DES - Desenvolvimento Tecnológico e Inovação","Bolsas de Graduação","2638904"
"Ciências da Saúde","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","2637690"
"Engenharias","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","Bolsas de Graduação","2611792"
"Engenharias","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","2606000"
"Engenharias","PV - Pesquisador Visitante","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2600000"
"Ciências Humanas","PAV - Bolsa Pesquisador-Avaliador","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2370000"
"Lingüística, Letras e Artes","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","2361900"
"Ciências Agrárias","ITC - Iniciação Tecnológica em TICs","Bolsas de Iniciação Tecnológica e Industrial","2350000"
"Ciências Agrárias","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","2325341"
"Indefinido","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","2280000"
"Engenharias","PAV - Bolsa Pesquisador-Avaliador","Indefinido","2249720"
"Ciências Biológicas","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","2216700"
"Ciências Humanas","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","2208960"
"Indefinido","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","2208800"
"Tecnologias","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","2130000"
"Ciências Sociais Aplicadas","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","2059229"
"Ciências Agrárias","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","2043200"
"Ciências da Saúde","PV - Pesquisador Visitante","APOIO A PROJETOS DE PESQUISA","1950000"
"Lingüística, Letras e Artes","ITC - Iniciação Tecnológica em TICs","Bolsas de Iniciação Tecnológica e Industrial","1950000"
"Ciências Humanas","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","1935000"
"Ciências Biológicas","MDT - Desenvolvimento Tecnologico","Bolsas de Desenvolvimento Tecnológico e Industrial","1881080"
"Ciências Biológicas","DT - Produtividade Desen. Tec. e Extensão Inovadora","0.0 - Problemas Encontrar Modalidade Processo","1834000"
"Lingüística, Letras e Artes","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","1736700"
"Ciências Biológicas","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","1712700"
"Ciências Humanas","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","1700000"
"Engenharias","DT - Produtividade Desen. Tec. e Extensão Inovadora","0.0 - Problemas Encontrar Modalidade Processo","1680000"
"Ciências da Saúde","DT - Produtividade Desen. Tec. e Extensão Inovadora","0.0 - Problemas Encontrar Modalidade Processo","1680000"
"Ciências Humanas","ITI - Iniciação Tecnológica Industrial","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","1650000"
"Ciências Sociais Aplicadas","PAV - Bolsa Pesquisador-Avaliador","Indefinido","1645680"
"Ciências Humanas","SWI - Doutorado Sanduíche Empresarial","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1550000"
"Ciências Agrárias","EJR - Estágio Júnior no Exterior","Bolsas no Exterior","1528395"
"Engenharias","MAT - Apoio Tecnico","Bolsas de Apoio Técnico","1472220"
"Ciências Agrárias","SPE - Estagio/Especializacao no Exterior","Estágio","1444492"
"Ciências Biológicas","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","1395720"
"Ciências Biológicas","SWI - Doutorado-Sanduiche Empresarial","Bolsas de Doutorado","1390000"
"Outra","ITC - Iniciação Tecnológica em TICs","Bolsas de Iniciação Tecnológica e Industrial","1350000"
"Ciências Sociais Aplicadas","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","1312500"
"Engenharias","MEP - Treinamento no Pais","Bolsa de Cota (Curta Dur.)","1306231"
"Lingüística, Letras e Artes","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","1210000"
"Outra","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","1165200"
"Engenharias","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","1144000"
"Ciências Exatas e da Terra","MIT - Iniciacao Tecnologica","Bolsas de Iniciação Tecnológica e Industrial","1141860"
"Ciências Biológicas","MAT - Apoio Tecnico","Bolsas de Apoio Técnico","1099580"
"Indefinido","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","1059900"
"Ciências Biológicas","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","1052400"
"Lingüística, Letras e Artes","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","1021000"
"Ciências Biológicas","EVF - Especialista Visitante FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","936536"
"Ciências da Saúde","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","930600"
"Ciências Sociais Aplicadas","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","881812"
"Outra","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","867900"
"Lingüística, Letras e Artes","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","850000"
"Ciências Humanas","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","754363"
"Engenharias","MIT - Iniciacao Tecnologica","Bolsas de Iniciação Tecnológica e Industrial","724690"
"Ciências da Saúde","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","704884"
"Ciências da Saúde","EVF - Especialista Visitante FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","702000"
"Engenharias","SEV - Especialista Visitante","Bolsas de Desenvolvimento Tecnológico e Industrial","657800"
"Ciências Agrárias","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","656700"
"Ciências Exatas e da Terra","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","633600"
"Ciências Sociais Aplicadas","DT -","0.0 - Problemas Encontrar Modalidade Processo","630000"
"Ciências Exatas e da Terra","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","627840"
"Outra","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","624960"
"Lingüística, Letras e Artes","PAV - Bolsa Pesquisador-Avaliador","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","620000"
"Ciências Sociais Aplicadas","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","600000"
"Engenharias","EP - Bolsa de Treinamento no Pais","Bolsas de Iniciação Tecnológica e Industrial","579612"
"Ciências da Saúde","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","578017"
"Indefinido","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","542331"
"Lingüística, Letras e Artes","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","539000"
"Ciências da Saúde","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","539000"
"Lingüística, Letras e Artes","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","527371"
"Indefinido","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","526667"
"Outra","SEV - Especialista Visitante","Bolsas de Desenvolvimento Tecnológico e Industrial","486700"
"Tecnologias","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","483000"
"Ciências Biológicas","MIT - Iniciacao Tecnologica","Bolsas de Iniciação Tecnológica e Industrial","478620"
"Engenharias","MEV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","455400"
"Lingüística, Letras e Artes","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","445350"
"Engenharias","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","442200"
"Não informado","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","440000"
"Tecnologias","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","405376"
"Ciências Agrárias","MDC - Desenvolvimento Cientifico da Metrologia Nacional","Bolsas de Desenvolvimento Científico e Regional","399760"
"Ciências Biológicas","PAV - Bolsa Pesquisador-Avaliador","Indefinido","395380"
"Lingüística, Letras e Artes","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","390000"
"Ciências Agrárias","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","368100"
"Ciências Biológicas","VFP - Pesquisador Visitante FIOCRUZ Pleno","Bolsas de Pesquisador/Especialista Visitante","360000"
"Outra","PAV - Bolsa Pesquisador-Avaliador","Indefinido","347980"
"Lingüística, Letras e Artes","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","344396"
"Ciências Humanas","PAV - Bolsa Pesquisador-Avaliador","Indefinido","333520"
"Não informado","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","320000"
"Ciências Agrárias","PAV - Bolsa Pesquisador-Avaliador","Indefinido","303600"
"Outra","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","300000"
"Ciências da Saúde","VFP - Pesquisador Visitante FIOCRUZ Pleno","Bolsas de Pesquisador/Especialista Visitante","288000"
"Lingüística, Letras e Artes","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","286000"
"Engenharias","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","268560"
"Outra","MDT - Desenvolvimento Tecnologico","Bolsas de Desenvolvimento Tecnológico e Industrial","267880"
"Ciências Humanas","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","267250"
"Indefinido","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","251150"
"Tecnologias","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","245000"
"Ciências Agrárias","AT - Apoio Técnico à Pesquisa","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","231000"
"Ciências Humanas","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","224000"
"Tecnologias","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","159000"
"Outra","MDC - Desenvolvimento Cientifico da Metrologia Nacional","Bolsas de Desenvolvimento Científico e Regional","155400"
"Indefinido","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","150000"
"Ciências Sociais Aplicadas","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","147600"
"Lingüística, Letras e Artes","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","135300"
"Lingüística, Letras e Artes","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","127800"
"Outra","MAT - Apoio Tecnico","Bolsas de Apoio Técnico","126800"
"Ciências Humanas","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","118800"
"Indefinido","IC - Iniciação Científica","Bolsas de Iniciação Científica","114400"
"Ciências Agrárias","PDT - Pós-doutorado Especial em Taxonomia","Bolsas de Pós-doutorado","113000"
"Outra","DDC - Bolsa de Divulgação e Disseminação Científica","Bolsas de Extensão em Pesquisa","112000"
"Ciências Exatas e da Terra","SEV - Especialista Visitante","Bolsas de Desenvolvimento Tecnológico e Industrial","108000"
"Engenharias","SIT - Iniciação Tecnológica em Semicondutores","Bolsas de Iniciação Tecnológica e Industrial","100000"
"Ciências Humanas","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","94300"
"Ciências Sociais Aplicadas","VFJ - Pesquisador Visitante FIOCRUZ Júnior","Bolsas de Pós-doutorado","92400"
"Ciências da Saúde","ITS - Interiorização do Trabalho em Saúde","Bolsas de Produtividade em Pesquisa e Tecnologia","86840"
"Ciências Agrárias","MAT - Apoio Tecnico","Bolsas de Apoio Técnico","86400"
"Tecnologias","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","86200"
"Outra","SIT - Iniciação Tecnológica em Semicondutores","Bolsas de Iniciação Tecnológica e Industrial","82000"
"Ciências Sociais Aplicadas","MPE - Mestrado Profissional no Exterior","Bolsas no Exterior","79551"
"Ciências Exatas e da Terra","MEV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","74400"
"Ciências da Saúde","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","Bolsas de Graduação","72440"
"Engenharias","SWI - Doutorado-Sanduiche Empresarial","Bolsas de Doutorado","71766"
"Ciências da Saúde","PAV - Bolsa Pesquisador-Avaliador","Indefinido","54872"
"Ciências Exatas e da Terra","VFP - Pesquisador Visitante FIOCRUZ Pleno","Bolsas de Pesquisador/Especialista Visitante","48000"
"Ciências Sociais Aplicadas","FIX - Fixação de Doutores","Bolsas de Fixação de Doutores","47112"
"Ciências Agrárias","FIX - Fixação de Doutores","Bolsas de Fixação de Doutores","47112"
"Ciências Humanas","FIX - Fixação de Doutores","Bolsas de Fixação de Doutores","44628"
"Ciências Sociais Aplicadas","DDC - Bolsa de Divulgação e Disseminação Científica","Bolsas de Extensão em Pesquisa","41000"
"Lingüística, Letras e Artes","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","39600"
"Ciências Agrárias","SWI - Doutorado-Sanduiche Empresarial","Bolsas de Doutorado","32869"
"Outra","MIT - Iniciacao Tecnologica","Bolsas de Iniciação Tecnológica e Industrial","30160"
"Tecnologias","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","25000"
"Lingüística, Letras e Artes","PAV - Bolsa Pesquisador-Avaliador","Indefinido","17600"
"Ciências Exatas e da Terra","SIT - Iniciação Tecnológica em Semicondutores","Bolsas de Iniciação Tecnológica e Industrial","17000"
"Ciências Agrárias","MIT - Iniciacao Tecnologica","Bolsas de Iniciação Tecnológica e Industrial","16240"
"Indefinido","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","10800"
"Outra","SWI - Doutorado-Sanduiche Empresarial","Bolsas de Doutorado","9000"
"Ciências Sociais Aplicadas","SWI - Doutorado-Sanduiche Empresarial","Bolsas de Doutorado","7100"
"Lingüística, Letras e Artes","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","6004"
"Ciências da Saúde","SWI - Doutorado-Sanduiche Empresarial","Bolsas de Doutorado","4000"
"Indefinido","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","3720"
