"grande_area","modalidade","linha_de_fomento","valor"
"Ciências Sociais Aplicadas","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","59525000"
"Ciências Humanas","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","59220000"
"Ciências Exatas e da Terra","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","58949007"
"Ciências Sociais Aplicadas","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","58849000"
"Ciências Biológicas","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","58840000"
"Ciências da Saúde","RD - Recem-Doutor","Bolsas de Pesquisa Especial","58717201"
"Ciências da Saúde","AVG - Participação em Eventos Cientificos","Apoio a Participação/Realização de Eventos","57896711"
"Engenharias","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","57712000"
"Ciências Humanas","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","57380357"
"Outra","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","56915239"
"Ciências Biológicas","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","56024140"
"Lingüística, Letras e Artes","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","54860000"
"Engenharias","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","54618300"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","APOIO A PROJETOS DE PESQUISA","54521106"
"Ciências Biológicas","PDI - Pós-Doutorado Empresarial","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","54320000"
"Ciências Exatas e da Terra","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","53756400"
"Ciências Agrárias","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","53222000"
"Ciências Humanas","AVG - Participação em Eventos Cientificos","Apoio a Participação/Realização de Eventos","52900708"
"Ciências da Saúde","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","52500000"
"Ciências da Saúde","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","52465847"
"Lingüística, Letras e Artes","ESN - Estágio Sênior no Exterior","Estágio","51249204"
"Ciências Biológicas","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","50924623"
"Tecnologias","GM - Mestrado","Bolsas de Mestrado","49603800"
"Ciências Agrárias","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","49548707"
"Ciências Biológicas","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","49031650"
"Ciências Biológicas","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","48770927"
"Outra","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","47760000"
"Ciências Sociais Aplicadas","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","46975621"
"Lingüística, Letras e Artes","PD - Pós-doutorado","Bolsas de Pós-doutorado","45545329"
"Ciências Sociais Aplicadas","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","45220100"
"Indefinido","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","45085520"
"Ciências Humanas","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","44830000"
"Ciências Agrárias","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","44646800"
"Ciências Sociais Aplicadas","SET - Fixação de Recursos Humanos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","44340000"
"Ciências Sociais Aplicadas","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","44022660"
"Outra","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","43740000"
"Ciências Exatas e da Terra","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","43697116"
"Engenharias","AVG - Participação em Eventos Cientificos","Apoio a Participação/Realização de Eventos","43309534"
"Engenharias","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","42938000"
"Ciências Exatas e da Terra","AVG - Participação em Eventos Cientificos","Apoio a Participação/Realização de Eventos","42785721"
"Lingüística, Letras e Artes","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","42445449"
"Ciências Biológicas","ICJ - Iniciação Científica Júnior","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","42100000"
"Engenharias","PDI - Pós-Doutorado Empresarial","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","41870000"
"Outra","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","41548500"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","40454124"
"Ciências Biológicas","EVM - Especialista Visitante Máster FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","40418568"
"Indefinido","RD - Recem-Doutor","Bolsas de Pesquisa Especial","40257237"
"Ciências Agrárias","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","40196161"
"Ciências Exatas e da Terra","MPE - Mestrado Profissional no Exterior","Bolsas no Exterior","40055950"
"Ciências Humanas","GM - Mestrado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","39827329"
"Ciências Sociais Aplicadas","PV - Pesquisador Visitante","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","39045000"
"Ciências Agrárias","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","38692655"
"Ciências Agrárias","PDP - Pós-doutorado","Bolsas de Pós-doutorado","38109588"
"Tecnologias","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","38095102"
"Ciências Exatas e da Terra","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","37681900"
"Lingüística, Letras e Artes","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","37385000"
"Ciências Exatas e da Terra","PV - Pesquisador Visitante","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","36629864"
"Ciências Exatas e da Terra","PDI - Pós-Doutorado Empresarial","APOIO A PROJETOS DE PESQUISA","36590000"
"Ciências Sociais Aplicadas","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","36524253"
"Tecnologias","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","36496560"
"Ciências Sociais Aplicadas","AVG - Participação em Eventos Cientificos","Apoio a Participação/Realização de Eventos","36321437"
"Ciências Humanas","ICJ - Iniciação Científica Júnior","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","36320000"
"Indefinido","GM - Mestrado","Bolsas de Mestrado","36162214"
"Ciências Exatas e da Terra","MBV - Especialista Visitante","Bolsa de Cota (Curta Dur.)","36161654"
"Ciências Exatas e da Terra","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","36128000"
"Ciências Biológicas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","35203481"
"Ciências Agrárias","PDI - Pós-Doutorado Empresarial","APOIO A PROJETOS DE PESQUISA","34320000"
"Outra","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","33124325"
"Outra","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","33071000"
"Tecnologias","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","33008009"
"Ciências Agrárias","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","33000000"
"Ciências Biológicas","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","32876164"
"Ciências Agrárias","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","32340000"
"Ciências Humanas","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","31995980"
"Ciências Sociais Aplicadas","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","31914000"
"Ciências Humanas","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","31897793"
"Ciências Exatas e da Terra","PAV - Bolsa Pesquisador-Avaliador","Indefinido","31859100"
"Ciências Humanas","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","31533256"
"Ciências Sociais Aplicadas","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","31458000"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","31243123"
"Lingüística, Letras e Artes","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","31098000"
"Engenharias","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","30892018"
"Ciências da Saúde","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","30499888"
"Ciências Exatas e da Terra","DTI - Desenvolvimento Tecnológico Industrial","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","30062000"
"Ciências Exatas e da Terra","SPE - Estagio/Especializacao no Exterior","Estágio","29974561"
"Engenharias","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","29050000"
"Outra","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","28894956"
"Ciências da Saúde","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","28859832"
"Ciências Sociais Aplicadas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","28826691"
"Ciências Exatas e da Terra","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","28605000"
"Ciências Exatas e da Terra","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","27995576"
"Lingüística, Letras e Artes","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","27700000"
"Ciências Biológicas","PDP - Pós-doutorado","Bolsas de Pós-doutorado","27557106"
"Ciências Sociais Aplicadas","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","27229584"
"Ciências Exatas e da Terra","GDE - Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","26535568"
"Ciências Biológicas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","26342081"
"Outra","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","26322139"
"Ciências Agrárias","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","26088300"
"Engenharias","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","26068769"
"Engenharias","DTI - Desenvolvimento Tecnológico Industrial","APOIO A COOPERAÇÃO INTERNACIONAL","25400000"
"Engenharias","PDP - Pós-doutorado","Bolsas de Pós-doutorado","25358742"
"Ciências Biológicas","GDE - Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","25307591"
"Lingüística, Letras e Artes","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","25279800"
"Ciências Agrárias","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","25219815"
"Outra","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","25012901"
"Engenharias","SDT - Desenvolvimento Tecnológico em Semicondutores","Bolsas de Desenvolvimento Tecnológico e Industrial","24756408"
"Lingüística, Letras e Artes","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","24042958"
"Ciências Humanas","PDI - Pós-Doutorado Empresarial","APOIO A PROJETOS DE PESQUISA","23920000"
"Ciências Sociais Aplicadas","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","23677293"
"Ciências Humanas","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","23675324"
"Engenharias","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","23650840"
"Outra","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","23236142"
"Outra","MPE - Mestrado Profissional no Exterior","Bolsas no Exterior","23155147"
"Lingüística, Letras e Artes","PV - Pesquisador Visitante","APOIO A PROJETOS DE PESQUISA","22959290"
"Ciências Humanas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","22947700"
"Ciências Agrárias","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","22772714"
"Ciências da Saúde","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","22552185"
"Ciências da Saúde","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","22512973"
"Engenharias","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","22475556"
"Ciências Agrárias","INT - Bolsa Inova Talentos","APOIO A PROJETOS DE PESQUISA","22400000"
"Ciências Biológicas","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","21843000"
"Outra","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","Bolsas de Graduação","21828466"
"Ciências Biológicas","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","21577344"
"Ciências Biológicas","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","21576664"
"Ciências Sociais Aplicadas","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","21294000"
"Outra","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","20724116"
"Lingüística, Letras e Artes","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","20611893"
"Ciências Exatas e da Terra","PDP - Pós-doutorado","Bolsas de Pós-doutorado","20329415"
"Outra","RD - Recem-Doutor","Bolsas de Pesquisa Especial","20212884"
"Ciências Sociais Aplicadas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","20080466"
"Ciências Exatas e da Terra","EV - Especialista Visitante","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","19930000"
"Indefinido","GD - Doutorado","Bolsas de Doutorado","19718209"
"Ciências Biológicas","EXP - Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","19692600"
"Engenharias","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","19628630"
"Ciências Sociais Aplicadas","GM - Mestrado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","19626451"
"Ciências Humanas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A COOPERAÇÃO INTERNACIONAL","19360000"
"Ciências Biológicas","DES - Desenvolvimento Tecnológico e Inovação","Bolsas de Graduação","19284219"
"Ciências da Saúde","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","19136000"
"Ciências Sociais Aplicadas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A COOPERAÇÃO INTERNACIONAL","19072000"
"Outra","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","19048966"
"Ciências Exatas e da Terra","ICJ - Iniciação Científica Júnior","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","19020000"
"Ciências Humanas","SWP - Doutorado Sanduíche no País","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","18935000"
"Lingüística, Letras e Artes","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","18832202"
"Outra","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","18816000"
"Ciências Agrárias","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","18746000"
"Ciências Biológicas","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","18700000"
"Ciências Biológicas","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","18418000"
"Ciências Humanas","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","18276843"
"Ciências Exatas e da Terra","DTI - Desenvolvimento Tecnológico Industrial","APOIO A COOPERAÇÃO INTERNACIONAL","18220000"
"Ciências Sociais Aplicadas","BEP - Bolsa Treinamento no Pais","Bolsa de Cota (Curta Dur.)","18053831"
"Engenharias","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","18000000"
"Ciências Exatas e da Terra","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","17978257"
"Ciências Humanas","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","17641000"
"Ciências Humanas","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","17618091"
"Ciências Exatas e da Terra","INT - Bolsa Inova Talentos","APOIO A PROJETOS DE PESQUISA","17500000"
"Ciências Exatas e da Terra","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","17424200"
"Ciências Humanas","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","17336900"
"Ciências Sociais Aplicadas","DES - Desenvolvimento Tecnológico e Inovação","Bolsas de Graduação","17293207"
"Ciências da Saúde","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","17168795"
"Outra","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","16997000"
"Ciências Biológicas","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","16563200"
"Ciências Biológicas","PDI - Pós-Doutorado Empresarial","APOIO A PROJETOS DE PESQUISA","16530000"
"Outra","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","16322704"
"Indefinido","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","16284330"
"Tecnologias","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","16239120"
"Engenharias","ESN - Estágio Sênior no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","16175665"
"Ciências Sociais Aplicadas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","16127000"
"Ciências Exatas e da Terra","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","16041660"
"Ciências Agrárias","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","16033320"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","APOIO A PROJETOS DE PESQUISA","15901894"
"Outra","EV - Especialista Visitante","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","15885000"
"Ciências Exatas e da Terra","BJT - Atração de Jovens Talentos","Bolsas de Pesquisador/Especialista Visitante","15799950"
"Ciências da Saúde","SPE - Estagio/Especializacao no Exterior","Estágio","15739970"
"Ciências Sociais Aplicadas","EV - Especialista Visitante","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","15520000"
"Ciências Sociais Aplicadas","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","15510257"
"Ciências Sociais Aplicadas","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","15384592"
"Outra","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","APOIO A COOPERAÇÃO INTERNACIONAL","15236814"
"Ciências Agrárias","DTI - Desenvolvimento Tecnológico Industrial","APOIO A COOPERAÇÃO INTERNACIONAL","15124000"
"Lingüística, Letras e Artes","PV - Pesquisador Visitante","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","15025000"
"Ciências Sociais Aplicadas","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14941813"
"Ciências Exatas e da Terra","PDI - Pós-Doutorado Empresarial","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14825000"
"Lingüística, Letras e Artes","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","14741039"
"Ciências da Saúde","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14720000"
"Ciências Biológicas","AVG - Participação em Eventos Cientificos","Apoio a Participação/Realização de Eventos","14608870"
"Lingüística, Letras e Artes","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14469487"
"Outra","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","14379366"
"Ciências Exatas e da Terra","PSF - Pesquisador Visitante Senior FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","14376264"
"Ciências Exatas e da Terra","EXP - Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","14258000"
"Outra","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","14238800"
"Engenharias","GM - Mestrado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14174388"
"Ciências Agrárias","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14091238"
"Outra","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","14070000"
"Engenharias","PV - Pesquisador Visitante","APOIO A PROJETOS DE PESQUISA","14040000"
"Outra","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","13940182"
"Ciências Humanas","SPE - Estagio/Especializacao no Exterior","Estágio","13875353"
"Ciências Exatas e da Terra","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","13600000"
"Ciências Humanas","PV - Pesquisador Visitante","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","13360000"
"Ciências Exatas e da Terra","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","13310528"
"Outra","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","13099076"
"Ciências Exatas e da Terra","MDC - Desenvolvimento Cientifico da Metrologia Nacional","Bolsas de Desenvolvimento Científico e Regional","13093720"
"Ciências Biológicas","PV - Pesquisador Visitante","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","12991454"
"Outra","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","12922000"
"Ciências Biológicas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","12845000"
"Outra","SPE - Estagio/Especializacao no Exterior","Estágio","12700204"
"Indefinido","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","12665500"
"Lingüística, Letras e Artes","EV - Especialista Visitante","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","12650000"
"Ciências Exatas e da Terra","PDJ - Pós-Doutorado Júnior","APOIO A COOPERAÇÃO INTERNACIONAL","12496000"
"Engenharias","APV - Pesquisador Visitante","Apoio a Pesquisador Visitante","12390691"
"Ciências Exatas e da Terra","SWP - Doutorado Sanduíche no País","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","12375000"
"Lingüística, Letras e Artes","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","12218896"
"Ciências Agrárias","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","12205000"
"Outra","IC - Iniciação Científica","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","12180000"
"Engenharias","DEJ - Desenvolvimento Tecnológico e Inovação","Bolsas de Graduação","12007018"
"Lingüística, Letras e Artes","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","12000000"
"Tecnologias","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","11970000"
"Ciências da Saúde","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","11912500"
"Ciências Sociais Aplicadas","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","11910000"
"Ciências Agrárias","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","11868727"
"Ciências da Saúde","SET - Fixação de Recursos Humanos","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","11820000"
"Ciências Biológicas","PV - Pesquisador Visitante","APOIO A PROJETOS DE PESQUISA","11700000"
"Ciências Biológicas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","APOIO A COOPERAÇÃO INTERNACIONAL","11310389"
"Lingüística, Letras e Artes","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","11097800"
"Outra","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","10918359"
"Ciências Agrárias","IEX - Iniciação ao Extensionismo","APOIO A PROJETOS DE PESQUISA","10916000"
"Ciências Biológicas","IEX - Iniciação ao Extensionismo","APOIO A PROJETOS DE PESQUISA","10866000"
"Outra","ESN - Estágio Sênior no Exterior","Estágio","10860231"
"Ciências Biológicas","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","10799035"
"Ciências da Saúde","IEX - Iniciação ao Extensionismo","Bolsas de Iniciação Científica","10784160"
"Ciências Biológicas","FIX - Fixação de Doutores","Bolsas de Fixação de Doutores","10782741"
"Lingüística, Letras e Artes","GM - Mestrado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","10776393"
"Ciências Biológicas","PDJ - Pós-Doutorado Júnior","APOIO A COOPERAÇÃO INTERNACIONAL","10556000"
"Ciências Sociais Aplicadas","EXP - Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","10507200"
"Ciências Exatas e da Terra","PV - Pesquisador Visitante","APOIO A PROJETOS DE PESQUISA","10116123"
"Ciências Sociais Aplicadas","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","10032250"
"Ciências da Saúde","INT - Bolsa Inova Talentos","APOIO A PROJETOS DE PESQUISA","10010000"
"Indefinido","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","9888432"
