"grande_area","area","subarea","valor"
"Ciências da Saúde","Medicina","Clínica Médica","28293230244"
"Ciências da Saúde","Saúde Coletiva","Saúde Pública","20419957804"
"Ciências Exatas e da Terra","Física","Física da Matéria Condensada","16530218937"
"Ciências Biológicas","Genética","Genética Humana e Médica","16029404445"
"Ciências Agrárias","Agronomia","Fitotecnia","13822482367"
"Ciências Biológicas","Ecologia","Ecologia de Ecossistemas","12523128935"
"Ciências Exatas e da Terra","Ciência da Computação","Metodologia e Técnicas da Computação","11929821778"
"Ciências Agrárias","Agronomia","Ciência do Solo","11322610410"
"Ciências Exatas e da Terra","Geociências","Geologia","11206262832"
"Ciências Biológicas","Ecologia","Ecologia Aplicada","11088149192"
"Engenharias","Engenharia Civil","Construção Civil","10854602336"
"Engenharias","Engenharia Química","Processos Industriais de Engenharia Química","10615857949"
"Ciências Exatas e da Terra","Química","Físico-Química","10554724216"
"Ciências Exatas e da Terra","Química","Química Analítica","9633862298"
"Ciências Exatas e da Terra","Ciência da Computação","Sistemas de Computação","9509705057"
"Engenharias","Engenharia de Materiais e Metalúrgica","Materiais Não-Metálicos","9481629755"
"Outra","Multidisciplinar","Ensino","9271318216"
"Ciências Exatas e da Terra","Química","Química Orgânica","9263601076"
"Ciências Sociais Aplicadas","Administração","Administração Pública","9137997306"
"Ciências Biológicas","Bioquímica","Biologia Molecular","9127062947"
"Ciências Biológicas","Biologia Geral","Biologia Geral","9056821876"
"Ciências da Saúde","Saúde Coletiva","Epidemiologia","8717583028"
"Ciências Exatas e da Terra","Ciências Ambientais","Não informado","8212260372"
"Ciências Biológicas","Biotecnologia","Biotecnologia em Saúde Humana e Animal","7919249742"
"Ciências Biológicas","Zoologia","Taxonomia dos Grupos Recentes","7680179295"
"Ciências Agrárias","Agronomia","Fitossanidade","7575181436"
"Outra","Ciências Ambientais","Ciências Ambientais","7556684328"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Projeto de Arquitetura e Urbanismo","7037098648"
"Ciências Biológicas","Microbiologia","Microbiologia Aplicada","6941053593"
"Ciências Biológicas","Genética","Genética Molecular e de Microorganismos","6937012561"
"Engenharias","Engenharia Química","Tecnologia Química","6808686873"
"Não se aplica","Não se aplica","Não se aplica","6722426000"
"Outra","Divulgação Científica","Não informado","6586649752"
"Ciências Biológicas","Imunologia","Imunologia Aplicada","6561178192"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Ciência de Alimentos","6525115420"
"Ciências Exatas e da Terra","Matemática","Geometria e Topologia","6322382261"
"Ciências Agrárias","Medicina Veterinária","Medicina Veterinária Preventiva","6305709855"
"Engenharias","Engenharia Elétrica","Sistemas Elétricos de Potência","6263705658"
"Engenharias","Engenharia Mecânica","Aproveitamento da Energia","6156934828"
"Ciências Biológicas","Microbiologia","Biologia e Fisiologia dos Microorganismos","6050583038"
"Engenharias","Engenharia Elétrica","Eletrônica Industrial, Sistemas e Controles Eletrônicos","6050434042"
"Ciências Exatas e da Terra","Física","Física Geral","5903360455"
"Engenharias","Engenharia de Produção","Gerência de Produção","5878820156"
"Ciências Biológicas","Bioquímica","Metabolismo e Bioenergética","5592771443"
"Ciências Exatas e da Terra","Ciência da Computação","Engenharia de Software","5435769263"
"Engenharias","Engenharia Civil","Estruturas","5432035191"
"Ciências Sociais Aplicadas","Desenho Industrial","Desenho de Produto","5403879423"
"Ciências da Saúde","Odontologia","Clínica Odontológica","5378673287"
"Outra","Robótica, Mecatrônica e Automação","Robótica, Mecatrônica e Automação","5287303706"
"Ciências Exatas e da Terra","Ciência da Computação","Sistemas de Informação","5273155165"
"Ciências da Saúde","Medicina","Psiquiatria","5212116142"
"Ciências Exatas e da Terra","Química","Química Inorgânica","5183232788"
"Ciências Exatas e da Terra","Oceanografia","Oceanografia Biológica","5089127764"
"Ciências Agrárias","Zootecnia","Produção Animal","5015610191"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Planejamento e Projetos da Edificação","4982262309"
"Ciências Humanas","Educação","Tópicos Específicos de Educação","4899575255"
"Ciências Biológicas","Imunologia","Imunologia Celular","4780550202"
"Ciências Biológicas","Bioquímica","Química de Macromoléculas","4774868861"
"Ciências Biológicas","Farmacologia","Farmacologia Bioquímica e Molecular","4741310740"
"Ciências Humanas","Sociologia","Outras Sociologias Específicas","4687216101"
"Ciências Humanas","Educação","Ensino-Aprendizagem","4641662984"
"Engenharias","Engenharia de Produção","Planejamento, Projeto e Controle de Sistemas de Produção","4583691343"
"Ciências da Saúde","Farmácia","Farmacognosia","4582363579"
"Engenharias","Engenharia Mecânica","Engenharia Térmica","4530628739"
"Engenharias","Engenharia Elétrica","Telecomunicações","4512106412"
"Ciências Sociais Aplicadas","Administração","Administração de Empresas","4413717369"
"Engenharias","Engenharia Química","Operações Industriais e Equipamentos para Engenharia Química","4411309507"
"Ciências Sociais Aplicadas","Desenho Industrial","Programação Visual","4389830951"
"Ciências Exatas e da Terra","Física","Física das Partículas Elementares e Campos","4374405213"
"Ciências Humanas","História","História do Brasil","4352946168"
"Ciências da Saúde","Educação Física","Educação Física","4340789179"
"Engenharias","Engenharia Sanitária","Recursos Hídricos","4245340893"
"Ciências Biológicas","Fisiologia","Fisiologia de Órgãos e Sistemas","4234488104"
"Ciências da Saúde","Nutrição","Análise Nutricional de População","4227638909"
"Ciências Biológicas","Genética","Genética Animal","4136030199"
"Ciências Biológicas","Morfologia","Citologia e Biologia Celular","4132363272"
"Ciências da Saúde","Fisioterapia e Terapia Ocupacional","Fisioterapia e Terapia Ocupacional","4046069185"
"Ciências Agrárias","Agronomia","Fitopatologia","3956229764"
"Ciências da Saúde","Farmácia","Farmacotécnica e tecnologia farmacêutica","3947990142"
"Ciências Agrárias","Agronomia","Extensão Rural","3932320778"
"Ciências Exatas e da Terra","Geociências","Geofísica","3921073052"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Engenharia de Alimentos","3905917289"
"Ciências da Saúde","Medicina","Doenças Infecciosas e Parasitárias","3902587387"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Tecnologia de Alimentos","3900378069"
"Ciências Exatas e da Terra","Geociências","Meteorologia","3885788665"
"Ciências Biológicas","Genética","Genética Vegetal","3860204508"
"Ciências Agrárias","Zootecnia","Nutrição e Alimentação Animal","3753201173"
"Engenharias","Engenharia Civil","Processos Construtivos","3644638933"
"Ciências Agrárias","Agronomia","Melhoramento Vegetal","3635415115"
"Ciências Agrárias","Medicina Veterinária","Reprodução Animal","3632644462"
"Ciências Biológicas","Farmacologia","Farmacologia Clínica","3602230415"
"Engenharias","Engenharia de Energia","Fontes Renováveis de Energia","3533017574"
"Ciências Sociais Aplicadas","Comunicação","Teoria da Comunicação","3491422476"
"Engenharias","Engenharia Sanitária","Saneamento Ambiental","3422542418"
"Ciências Exatas e da Terra","Matemática","Matemática Aplicada","3416079848"
"Ciências da Saúde","Farmácia","Garantia e controle de qualidade farmacêuticos","3384906633"
"Lingüística, Letras e Artes","Lingüística","Teoria e Análise Lingüística","3348589813"
"Outra","Biotecnologia","Biotecnologia","3347068884"
"Engenharias","Engenharia de Materiais e Metalúrgica","Metalurgia Física","3340279904"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Aqüicultura","3322602405"
"Ciências Biológicas","Botânica","Taxonomia Vegetal","3246108879"
"Engenharias","Engenharia Sanitária","Tratamento de Águas de Abastecimento e Residuárias","3217774173"
"Ciências Exatas e da Terra","Matemática","Análise","3213338043"
"Ciências da Saúde","Medicina","Anatomia Patológica e Patologia Clínica","3202961448"
"Ciências Humanas","Geografia","Geografia Humana","3184403055"
"Engenharias","Engenharia Civil","Geotécnica","3133253861"
"Engenharias","Engenharia Mecânica","Projetos de Máquinas","3096669413"
"Engenharias","Engenharia Mecânica","Fenômenos de Transporte","3080735325"
"Ciências da Saúde","Medicina","Neurologia","3062785071"
"Outra","Multidisciplinar","Multidisciplinar","3014004541"
"Ciências Agrárias","Agronomia","Agronomia","3010997506"
"Engenharias","Engenharia de Produção","Engenharia do Produto","2985131876"
"Ciências Agrárias","Engenharia Agrícola","Engenharia de Água e Solo","2959969770"
"Engenharias","Engenharia de Materiais e Metalúrgica","Polímeros, Aplicações","2954894403"
"Ciências Biológicas","Farmacologia","Neuropsicofarmacologia","2933961609"
"Engenharias","Engenharia Elétrica","Automação Eletrônica de Processos Elétricos e Industriais","2883206256"
"Ciências Exatas e da Terra","Química","Química","2878746387"
"Engenharias","Engenharia Elétrica","Engenharia Elétrica","2829243622"
"Ciências Humanas","Educação","Fundamentos da Educação","2824051209"
"Ciências Exatas e da Terra","Física","Física","2810174681"
"Engenharias","Engenharia Mecânica","Processos de Fabricação","2808834360"
"Ciências da Saúde","Medicina","Saúde Materno-Infantil","2789626761"
"Engenharias","Engenharia Nuclear","Aplicações de Radioisótopos","2782027506"
"Outra","Divulgação Científica","Divulgação Científica","2755842037"
"Ciências Exatas e da Terra","Química","Química dos Produtos Naturais","2755299345"
"Engenharias","Engenharia Mecânica","Mecânica dos Sólidos","2754264548"
"Engenharias","Engenharia Química","Petróleo e Petroquímica","2731512856"
"Ciências Exatas e da Terra","Geociências","Geografia Física","2655668550"
"Ciências da Saúde","Farmácia","Farmacotecnia","2645885668"
"Engenharias","Engenharia Química","Processos Bioquímicos","2639355599"
"Ciências Biológicas","Botânica","Fisiologia Vegetal","2637017628"
"Ciências Biológicas","Biotecnologia","Biotecnologia Ambiental e Recursos Naturais","2602229989"
"Ciências Humanas","Antropologia","Teoria Antropológica","2597087466"
"Ciências Exatas e da Terra","Física","Prop. Óticas e Espectrosc. da Mat. Condens; Outras Inter. da Mat. com Rad. e Part.","2593347399"
"Ciências Biológicas","Farmacologia","Farmacologia Geral","2590521457"
"Ciências Biológicas","Botânica","Botânica Aplicada","2589533662"
"Lingüística, Letras e Artes","Lingüística","Lingüística Aplicada","2578785332"
"Engenharias","Engenharia de Produção","Pesquisa Operacional","2549049886"
"Ciências Biológicas","Parasitologia","Entomologia e Malacologia de Parasitos e Vetores","2547264775"
"Ciências Biológicas","Fisiologia","Fisiologia Geral","2540841257"
"Ciências Sociais Aplicadas","Administração","Administração de Setores Específicos","2533145423"
"Lingüística, Letras e Artes","Letras","Teoria Literária","2501328533"
"Ciências Humanas","Psicologia","Psicologia Social","2480558306"
"Ciências Agrárias","Agronomia","Entomologia Agrícola","2464472678"
"Ciências da Saúde","Medicina","Cardiologia","2415711076"
"Ciências da Saúde","Farmácia","Avaliação e analises toxicológicas","2408342515"
"Ciências da Saúde","Medicina","Cirurgia","2363293167"
"Engenharias","Engenharia Aeroespacial","Materiais e Processos para Engenharia Aeronáutica e Aeroespacial","2356284095"
"Engenharias","Engenharia Civil","Engenharia Civil","2332303185"
"Engenharias","Engenharia de Produção","Engenharia Econômica","2332150037"
"Engenharias","Engenharia Mecânica","Engenharia Mecânica","2327849799"
"Engenharias","Engenharia de Materiais e Metalúrgica","Cerâmicos","2317622117"
"Engenharias","Engenharia Civil","Estruturas de Concreto","2296944037"
"Ciências Biológicas","Microbiologia","Microbiologia Médica","2268881697"
"Ciências Biológicas","Parasitologia","Protozoologia de Parasitos","2259157445"
"Ciências Agrárias","Medicina Veterinária","Clínica e Cirurgia Animal","2256838002"
"Ciências Biológicas","Bioquímica","Proteínas","2238914523"
"Engenharias","Engenharia Civil","Materiais e Componentes de Construção","2232531659"
"Ciências da Saúde","Educação Física","Não informado","2209854595"
"Engenharias","Engenharia Civil","Infra-Estrutura de Transportes","2207855162"
"Ciências Humanas","Arqueologia","Arqueologia Pré-Histórica","2187000196"
"Ciências Humanas","Filosofia","História da Filosofia","2179660571"
"Engenharias","Engenharia Química","Engenharia Química","2171736311"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Conservação da Natureza","2170832624"
"Engenharias","Engenharia Mecânica","Mecânica dos Fluídos","2163850847"
"Ciências Biológicas","Fisiologia","Neurofisiologia","2160761992"
"Ciências Biológicas","Biologia Geral","Não informado","2156010303"
"Engenharias","Engenharia Aeroespacial","Sistemas Aeroespaciais","2150026870"
"Ciências Exatas e da Terra","Ciência da Computação","Ciência da Computação","2123916392"
"Lingüística, Letras e Artes","Letras","Literatura Comparada","2121762093"
"Ciências Agrárias","Zootecnia","Genética e Melhoramento dos Animais Domésticos","2120659234"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Manejo Florestal","2111478699"
"Ciências Exatas e da Terra","Química","Análise de Traços e Química Ambiental","2103625132"
"Ciências Exatas e da Terra","Oceanografia","Oceanografia Geológica","2098883067"
"Ciências Biológicas","Bioquímica","Bioquímica dos Microorganismos","2083109907"
"Ciências Humanas","Antropologia","Antropologia Urbana","2074415194"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Fundamentos de Arquitetura e Urbanismo","2062714372"
"Ciências Humanas","Psicologia","Tratamento e Prevenção Psicológica","2054440313"
"Engenharias","Engenharia Elétrica","Circuitos Eletrônicos","2046498892"
"Engenharias","Engenharia Elétrica","Circuitos Elétricos, Magnéticos e Eletrônicos","2007351074"
"Ciências Exatas e da Terra","Oceanografia","Oceanografia Física","1981457800"
"Ciências Humanas","História","História Moderna e Contemporânea","1967660999"
"Ciências Biológicas","Bioquímica","Bioquímica","1965513543"
"Ciências Biológicas","Biofísica","Biofísica Molecular","1963449038"
"Ciências Humanas","Ciência Política","Políticas Públicas","1939497437"
"Ciências da Saúde","Medicina","Medicina","1929943494"
"Ciências Humanas","Educação","Educação","1890076117"
"Ciências Exatas e da Terra","Ciência da Computação","Linguagens de Programação","1884869925"
"Ciências da Saúde","Medicina","Hematologia","1881216715"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Planejamento e Projeto do Espaço Urbano","1873012407"
"Ciências Exatas e da Terra","Ciência da Computação","Arquitetura de Sistemas de Computação","1872786773"
"Ciências da Saúde","Nutrição","Bioquímica da Nutrição","1870523479"
"Ciências Biológicas","Microbiologia","Virologia","1869724889"
"Engenharias","Microeletrônica","Projeto","1843198680"
"Engenharias","Engenharia Elétrica","Geração da Energia Elétrica","1842186066"
"Ciências Exatas e da Terra","Química","Síntese Orgânica","1832205959"
"Ciências Agrárias","Medicina Veterinária","Patologia Animal","1826617129"
"Ciências da Saúde","Fisioterapia e Terapia Ocupacional","Não informado","1814514179"
"Ciências Biológicas","Ecologia","Ecologia Teórica","1799493160"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Tecnologia de Arquitetura e Urbanismo","1787871212"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde Coletiva","1786664834"
"Engenharias","Engenharia de Materiais e Metalúrgica","Metalurgia de Transformação","1784401185"
"Engenharias","Engenharia Elétrica","Sistemas de Telecomunicações","1769707934"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Piscicultura","1756999007"
"Engenharias","Engenharia Biomédica","Bioengenharia","1747025714"
"Ciências Exatas e da Terra","Ciência da Computação","Processamento Gráfico (Graphics)","1707115922"
"Engenharias","Engenharia Biomédica","Engenharia Médica","1705384268"
"Engenharias","Engenharia Civil","Mecânica das Estruturas","1699362277"
"Ciências Exatas e da Terra","Ciência da Computação","Teoria da Computação","1688779689"
"Ciências Sociais Aplicadas","Serviço Social","Serviço Social Aplicado","1688127680"
"Ciências Biológicas","Biotecnologia","Biotecnologia Vegetal","1685584372"
"Ciências Exatas e da Terra","Química","Cinética Química e Catálise","1678534014"
"Lingüística, Letras e Artes","Letras","Literatura Brasileira","1656312491"
"Ciências Biológicas","Zoologia","Zoologia Aplicada","1655380360"
"Ciências Agrárias","Zootecnia","Pastagem e Forragicultura","1654137254"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Química, Física, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares","1653571246"
"Engenharias","Engenharia Mecânica","Máquinas, Motores e Equipamentos","1649595114"
"Ciências Exatas e da Terra","Química","Química Teórica","1623109771"
"Ciências Biológicas","Biotecnologia","Biotecnologia Industrial","1619545327"
"Ciências Agrárias","Agronomia","Microbiologia e Bioquímica do Solo","1589398956"
"Ciências Biológicas","Zoologia","Comportamento Animal","1581871293"
"Engenharias","Engenharia Química","Reatores Químicos","1581095943"
"Ciências da Saúde","Odontologia","Materiais Odontológicos","1560035665"
"Ciências Humanas","Ciência Política","Política Internacional","1558189433"
"Engenharias","Engenharia de Materiais e Metalúrgica","Engenharia de Materiais e Metalúrgica","1553229375"
"Ciências Agrárias","Agronomia","Manejo e Tratos Culturais","1542600724"
"Ciências Humanas","Psicologia","Psicologia do Desenvolvimento Humano","1532656885"
"Ciências Humanas","Sociologia","Sociologia Rural","1508828997"
"Ciências da Saúde","Odontologia","Odontologia Social e Preventiva","1508569496"
"Ciências Humanas","Educação","Planejamento e Avaliação Educacional","1508141670"
"Engenharias","Engenharia Química","Operações de Separação e Mistura","1504713685"
"Ciências Exatas e da Terra","Ciência da Computação","Teleinformática","1500895988"
"Ciências Exatas e da Terra","Ciência da Computação","Matemática da Computação","1479815191"
"Ciências da Saúde","Medicina","Endocrinologia","1440786955"
"Ciências Humanas","História","História","1440182816"
"Ciências da Saúde","Saúde Coletiva","Saúde Coletiva","1438562932"
"Ciências Humanas","Sociologia","Sociologia","1430353517"
"Ciências Agrárias","Agronomia","Fertilidade do Solo e Adubação","1419544859"
"Engenharias","Engenharia de Produção","Engenharia de Produção","1415487631"
"Ciências Exatas e da Terra","Oceanografia","Interação entre os Organismos Marinhos e os Parâmetros Ambientais","1409321068"
"Ciências Agrárias","Medicina Veterinária","Doenças Infecciosas de Animais","1405398637"
"Outra","Microeletrônica","Microeletrônica","1393373385"
"Ciências Biológicas","Parasitologia","Protozoologia Parasitária Humana","1362116411"
"Ciências Biológicas","Ecologia","Ecologia","1353326801"
"Ciências Exatas e da Terra","Física","Física Atômica e Molecular","1345178682"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Silvicultura","1341937314"
"Ciências Sociais Aplicadas","Direito","Direito Público","1341530038"
"Engenharias","Engenharia de Transportes","Planejamento de Transportes","1329144404"
"Engenharias","Engenharia Elétrica","Controle de Processos Eletrônicos, Retroalimentação","1328726414"
"Ciências Humanas","Geografia","Geografia Regional","1320338234"
"Ciências Biológicas","Zoologia","Conservação das Espécies Animais","1316301282"
"Engenharias","Engenharia Mecânica","Termodinâmica","1314859700"
"Ciências Biológicas","Zoologia","Paleozoologia","1313426653"
"Ciências Exatas e da Terra","Astronomia","Astrofísica Estelar","1311929253"
"Ciências da Saúde","Enfermagem","Enfermagem de Saúde Pública","1303179466"
"Engenharias","Engenharia Elétrica","Transmissão da Energia Elétrica, Distribuição da Energia Elétrica","1301394271"
"Ciências Agrárias","Zootecnia","Avaliação de Alimentos para Animais","1287772062"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Fundamentos do Planejamento Urbano e Regional","1284926041"
"Ciências Humanas","Psicologia","Psicologia","1283378278"
"Lingüística, Letras e Artes","Artes","Música","1277103121"
"Engenharias","Engenharia Civil","Engenharia Hidráulica","1270081586"
"Engenharias","Engenharia Sanitária","Qualidade do Ar, das Águas e do Solo","1268658241"
"Ciências Agrárias","Agronomia","Defesa Fitossanitária","1236150763"
"Ciências Exatas e da Terra","Química","Eletroquímica","1235727936"
"Ciências Exatas e da Terra","Ciência da Computação","Banco de Dados","1233460078"
"Ciências da Saúde","Enfermagem","Enfermagem Fundamental","1232436949"
"Ciências Biológicas","Botânica","Ecofisiologia Vegetal","1230913911"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Estatística","1224722322"
"Ciências Exatas e da Terra","Matemática","Matemática","1224547296"
"Indefinido",NULL,"Indefinido","1221502201"
"Engenharias","Engenharia Elétrica","Materiais Elétricos","1213374816"
"Ciências Biológicas","Fisiologia","Fisiologia Cardiovascular","1212313960"
"Ciências Exatas e da Terra","Física","Materiais Magnéticos e Propriedades Magnéticas","1208435293"
"Ciências Humanas","Psicologia","Psicologia Experimental","1205688907"
"Ciências da Saúde","Nutrição","Dietética","1205461811"
"Ciências Biológicas","Biofísica","Biofísica Celular","1198258753"
"Ciências Agrárias","Zootecnia","Zootecnia","1187640033"
"Engenharias","Engenharia de Minas","Tratamento de Minérios","1179586233"
"Ciências Agrárias","Medicina Veterinária","Inspeção de Produtos de Origem Animal","1179178430"
"Ciências da Saúde","Nutrição","Desnutrição e Desenvolvimento Fisiológico","1173478644"
"Ciências Biológicas","Farmacologia","Toxicologia","1159181875"
"Ciências Exatas e da Terra","Matemática","Álgebra","1153045856"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde do Adulto e do Idoso","1151024800"
"Engenharias","Engenharia de Produção","Desenvolvimento de Produto","1147273273"
"Lingüística, Letras e Artes","Letras","Letras","1144556626"
"Engenharias","Engenharia de Materiais e Metalúrgica","Metalurgia Extrativa","1141556786"
"Ciências Exatas e da Terra","Ciência da Computação","Análise de Algoritmos e Complexidade de Computação","1132865265"
"Ciências Exatas e da Terra","Oceanografia","Oceanografia Química","1130353965"
"Ciências Exatas e da Terra","Física","Teoria Geral de Partículas e Campos","1130274311"
"Ciências Exatas e da Terra","Geociências","Geoquímica","1129430761"
"Ciências Humanas","Educação","Currículo","1114875630"
"Ciências Sociais Aplicadas","Economia","Economias Agrária e dos Recursos Naturais","1110364447"
"Ciências Exatas e da Terra","Astronomia","Astrofísica Extragalactica","1103154965"
"Ciências Sociais Aplicadas","Comunicação","Comunicação Visual","1096154914"
"Engenharias","Engenharia Sanitária","Saneamento Básico","1096072030"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Recursos Pesqueiros de Águas Interiores","1094611316"
"Engenharias","Engenharia Nuclear","Tecnologia dos Reatores","1093322025"
"Lingüística, Letras e Artes","Lingüística","Lingüística","1092062893"
"Ciências da Saúde","Saúde Coletiva","Medicina Preventiva","1077248509"
"Engenharias",NULL,"Engenharias","1069932492"
"Ciências Biológicas","Genética","Mutagenese","1066735440"
"Engenharias","Engenharia Mecânica","Dinâmica dos Corpos Rígidos, Elásticos e Plásticos","1051863032"
"Ciências Exatas e da Terra","Física","Física Nuclear","1049146575"
"Ciências Humanas","Ciência Política","Comportamento Político","1046605091"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Tecnologia e Utilização de Produtos Florestais","1045772762"
"Ciências Exatas e da Terra","Geociências","Climatologia","1041253538"
"Ciências Biológicas","Microbiologia","Microbiologia Industrial e de Fermentação","1040324841"
"Ciências Humanas","Sociologia","Sociologia do Desenvolvimento","1038341281"
"Ciências Biológicas","Bioquímica","Enzimologia","1029531927"
"Engenharias","Engenharia Sanitária","Planejamento Integrado dos Recursos Hídricos","1025437551"
"Ciências Exatas e da Terra","Geociências","Geofísica Aplicada","1025418457"
"Ciências Biológicas","Morfologia","Histologia","1019479740"
"Engenharias","Engenharia Química","Processos Orgânicos","1016092720"
"Ciências Humanas","Antropologia","Antropologia","1014982498"
"Ciências Humanas","Filosofia","Ética","1012409006"
"Ciências Agrárias","Agronomia","Fisiologia de Plantas Cultivadas","1006241981"
"Engenharias","Engenharia Elétrica","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas","1004815937"
"Ciências da Saúde","Farmácia","Farmácia","1004577444"
"Ciências da Saúde","Odontologia","Periodontia","999311381"
"Ciências Exatas e da Terra","Ciência da Computação","Modelos Analíticos e de Simulação","996150547"
"Engenharias","Engenharia Mecânica","Processos de Fabricação, Seleção Econômica","989855607"
"Ciências Agrárias","Engenharia Agrícola","Engenharia de Processamento de Produtos Agrícolas","987034377"
"Ciências Agrárias","Agronomia","Manejo e Conservação do Solo","983647712"
"Ciências Exatas e da Terra","Matemática","Sistemas Dinâmicos","973946364"
"Ciências Humanas","Ciência Política","Estado e Governo","969489312"
"Engenharias","Engenharia de Produção","Gerência do Projeto e do Produto","969135183"
"Engenharias","Engenharia Química","Tratamentos e Aproveitamento de Rejeitos","968394301"
"Ciências Sociais Aplicadas","Economia","Economia","966464081"
"Ciências da Saúde","Farmácia","Química Farmacêutica Medicinal","964752028"
"Ciências Biológicas","Zoologia","Zoologia","957181572"
"Ciências Exatas e da Terra","Física","Física Estatística e Termodinâmica","953541038"
"Ciências Biológicas","Imunologia","Imunogenética","952102694"
"Ciências Sociais Aplicadas","Direito","Direitos Especiais","951299874"
"Ciências da Saúde","Medicina","Cancerologia","950185266"
"Engenharias","Engenharia de Energia","Planejamento Energético","949582667"
"Engenharias","Engenharia Elétrica","Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação","949313320"
"Ciências da Saúde","Farmácia","Análise Toxicológica","948313237"
"Ciências Biológicas","Botânica","Taxonomia de Fanerógamos","946621052"
"Ciências Sociais Aplicadas","Administração","Ciências Contábeis","940976791"
"Outra","Defesa","Defesa","939535128"
"Ciências Sociais Aplicadas","Serviço Social","Fundamentos do Serviço Social","938643130"
"Ciências da Saúde","Fonoaudiologia","Fonoaudiologia","937347377"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Ciência e Tecnologia de Alimentos","934855331"
"Engenharias","Engenharia Química","Polímeros","929559009"
"Outra","Biomedicina","Biomedicina","926618461"
"Ciências Sociais Aplicadas","Ciência da Informação","Biblioteconomia","917627036"
"Ciências Agrárias","Medicina Veterinária","Medicina Veterinária","912570098"
"Ciências Humanas","Antropologia","Etnologia Indígena","910717426"
"Ciências Sociais Aplicadas","Comunicação","Jornalismo e Editoração","910334100"
"Ciências da Saúde","Odontologia","Odontopediatria","910178380"
"Ciências Exatas e da Terra","Matemática","Geometria Diferencial","906981751"
"Engenharias","Engenharia Aeroespacial","Propulsão Aeroespacial","905119826"
"Ciências Biológicas","Fisiologia","Fisiologia","900008139"
"Ciências Agrárias","Engenharia Agrícola","Irrigação e Drenagem","895042180"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Probabilidade e Estatística Aplicadas","893423608"
"Ciências Humanas","Psicologia","Psicologia Fisiológica","884561772"
"Ciências Biológicas","Zoologia","Morfologia dos Grupos Recentes","880167002"
"Engenharias","Engenharia de Minas","Métodos de Concentração e Enriquecimento de Minérios","878182168"
"Ciências Biológicas","Botânica","Taxonomia de Criptógamos","876608004"
"Ciências Biológicas","Botânica","Botânica","869827265"
"Ciências Humanas","História","História das Ciências","864294598"
"Não informado","Não informado","Não informado","852678480"
"Ciências Exatas e da Terra","Matemática","Equações Diferenciais Parciais","843570808"
"Engenharias","Engenharia de Materiais e Metalúrgica","Materiais Conjugados Não-Metálicos","843166509"
"Ciências Agrárias","Engenharia Agrícola","Máquinas e Implementos Agrícolas","840383495"
"Ciências Humanas","Psicologia","Psicologia Cognitiva","839311380"
"Ciências da Saúde","Farmácia","Farmácia clínica, assistência e atenção farmacêuticas","837960987"
"Ciências Exatas e da Terra","Áreas Tecnológicas de Física e Matemática","Não informado","836820000"
"Engenharias","Engenharia Civil","Estruturas Metálicas","834133727"
"Engenharias","Engenharia de Minas","Lavra","833698598"
"Ciências Agrárias","Medicina Veterinária","Anatomia Patologia Animal","831737798"
"Ciências Biológicas","Morfologia","Embriologia","828073432"
"Ciências da Saúde","Odontologia","Cirurgia Buco-Maxilo-Facial","821223247"
"Ciências Exatas e da Terra","Química","Polímeros e Colóides","820329740"
"Engenharias","Engenharia Mecânica","Mecânica dos Corpos Sólidos, Elásticos e Plásticos","819914360"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Arquitetura e Urbanismo","819053668"
"Ciências Biológicas","Biofísica","Biofísica de Processos e Sistemas","817486881"
"Ciências Biológicas","Genética","Genética","810849459"
"Ciências Biológicas","Microbiologia","Micologia","808126745"
"Engenharias","Engenharia de Produção","Programação Linear, Não-Linear, Mista e Dinâmica","806304622"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Recursos Pesqueiros Marinhos","806015694"
